ISBN,書籍簡介
9789865358327,0
9789865358334,0
9789865358310,0
104010100401,0
4712839708540,"

私中入學．升國中資優班．國小總複習綜觀各種私中入學及國中能力分班測驗，其中的國語科測驗，其題型不外乎三大類，即「字彙能力測驗」、「詞彙能力測驗」及「語句能力測驗」。「字彙能力測驗」主要在測試考生的字形、字音及字義等能力，是最基本的測驗題型。「詞彙能力測驗」則測試考生對詞義的理解程度以及對成語的掌握能力。「語句能力測驗」是測試考生對語句的組合能力及推理能力；其中的推理能力部分，有時亦稱為語文智能測驗。本書的編寫針對上述各項測驗，予以分回整理，各測驗的方式及內容均於各分回中加以說明。全書共三十回測驗，每回測驗都有五十題測驗題，考生若能勤加練習，相信必能在私立中學入學考試及國中資優能力分班測驗的國語科測驗中搶得先機，無往不利。
                    
"
4712839708724,"

私中入學、升國中資優班、國中先修 適用本書以學期的時間為主軸，採用主題方式學習，融合各家版本學習內容，讓國小高年級及國中一上的學生，透過練習，熟悉各題型題目，最後以統整方式進行評量，模擬檢測。語文應該運用在日常生活中，因此題目也逐漸朝向生活化與實用化；綜觀私中入學，及國中智優分班之模擬試題評量的趨勢，積極走向活學活用，而讓學生瞭解每一單元的學習要點，就可以熟悉各種考試的解題技巧。閱讀與作文能力也是近年熱門的話題，從基本的字形、字音、字義、語詞、成語到句型，都需要階段性的練習。希望透過本書的學習，能夠讓學生的基礎能力增進，國語文能力躍進。本書係編者本著認真、嚴謹的態度來完成，一遇疑義之處，必遍查多種資料，以求真求實，唯限於才學淺薄，難免有疏漏之處，尚祈先進不吝指正。
                    
"
4712839708663,"

國中會考國文科閱讀測驗大部分試題都考閱讀理解能力。考生除了熟讀課本之外，平時要廣泛閱讀課外讀物，才能在考場上得心應手。因此，如何增強國文閱讀能力，提升良好的閱讀習慣，以奠定閱讀測驗紮實的基礎，已成為不容忽視的課題。近年來國中會考國文閱讀測驗題組，其選文與題型千變萬化，內容更是包羅萬象，其中約略可分為「白話文」與「文言文」兩部分；「白話文」部分包括有新詩、散文、寓言及其他文體（網路新聞、廣告、請帖、書信…等），「文言文」部分則包含有歷代名家選文與古典詩、詞、曲等。基於國文閱讀的多變趨勢，編者擷取清新雋永的各式優質選文，將白話文與文言文並列於各回測驗中，使考生能將白話文與文言文並重學習而不偏廢。解答的部分，每道題目均附有詳細的解析，文言文則附有語譯，以利學生理解，進而提升國語文閱讀實力。本書針對國中會考的命題方式，精編模擬試題，提供學生準備會考的練習需要，讓學生了解閱讀測驗的脈絡，一步一步引導學生熟悉測驗方式，培養精確的解題，期盼藉由本書使考生獲取高分。
                    
"
9789865358341,0
4712839707420,"

國中不僅是另一個新的開始，也是舊的延續。國中課程是建立在國小課程的基礎上，如果對國小課程的內容很熟練，就已經贏在起跑點上。本書不僅適合「國中入學測驗」的考試練習，也適合用作國小課程的總結複習。針對小六學生參加私中入學，以及國一新生的分班測驗，本書精心編製「數學科」7回、「國語科」6回、「自然科」6回及「英語科」8回，全書共27回測驗，每回測驗40題，並附有解答及詳解；透過本書的練習，相信一定可以進入理想的私立中學或國中資優班就讀。
                    
"
4712839707031,"

國中是另一個新的開始，但也是舊的延續。國中國文是建立在國小國語科的基礎上，如果對國小國語的內容很熟練，就已經贏在起跑點上。本書不僅適合「升國中資優班」及「私中入學」的考試練習，也適合作為國小國語課程的總結複習，及國中一年級的課程預習教材。針對小六學生參加私立中學入學測驗，以及國一新生入學後的資優分班能力測驗，本書精心編製「國語科」考題，全書共28回測驗，每回測驗40題，並附有解答及詳解；透過本書的練習，相信一定可以進入理想的私立中學或國中資優班就讀。
                    
"
4712839704986,"

本書以學期的時間為主軸，採用主題方式學習，融合各家版本學習內容，讓國小高年級及國中一上的學生，透過練習，熟悉各題型題目，最後以統整方式進行評量，模擬檢測。語文應該運用在日常生活中，因此題目也逐漸朝向生活化與實用化；綜觀私中入學，及國中智優分班之模擬試題評量的趨勢，積極走向活學活用，而讓學生瞭解每一單元的學習要點，就可以熟悉各種考試的解題技巧。閱讀與作文能力也是近年熱門的話題，從基本的字形、字音、字義、語詞、成語到句型，都需要階段性的練習。希望透過本書的學習，能夠讓學生的基礎能力增進，國語文能力躍進。本書係編者本著認真、嚴謹的態度來完成，一遇疑義之處，必遍查多種資料，以求真求實，唯限於才學淺薄，難免有疏漏之處，尚祈先進不吝指正。
                    
"
4712839704634,"

國中是另一個新的開始，但也是舊的延續。國中國文是建立在國小國語科的基礎上，如果對國小國語的內容很熟練，就已經贏在起跑點上。本書不僅適合「升國中資優班」及「私中入學」的考試練習，也適合作為國小國語課程的總結複習，及國中一年級的課程預習教材。針對小六學生參加私立中學入學測驗，以及國一新生入學後的資優分班能力測驗，本書精心編製「國語科」考題，全書共28回測驗，每回測驗40題，並附有解答及詳解；透過本書的練習，相信一定可以進入理想的私立中學或國中資優班就讀。
                    
"
4712839704511,"

國中國文是建立在國小國語科的基礎上，如果對國小國語的內容很熟練，就已經贏在起跑點上。本書不僅適合「升國中資優班」及「私中入學」的考試練習，也適合作為國小國語課程的總結複習，及國中一年級的課程預習教材。針對小六學生參加私立中學入學測驗，以及國一新生入學後的資優分班能力測驗，本書精心搜集編製「國語科」考題，共有綜合測驗26回，每回均有50題測驗題。經由本書的練習，可以熟悉國中入學的國語科測驗類型，使參加「私中入學」或「國中資優班」考試的同學在國語科的測驗中取得好成績。
                    
"
4712839702074,"

私中入學．升國中資優班．國小總複習綜觀各種私中入學及國中能力分班測驗，其中的國語科測驗，其題型不外乎三大類，即「字彙能力測驗」、「詞彙能力測驗」及「語句能力測驗」。「字彙能力測驗」主要在測試考生的字形、字音及字義等能力，是最基本的測驗題型。「詞彙能力測驗」則測試考生對詞義的理解程度以及對成語的掌握能力。「語句能力測驗」是測試考生對語句的組合能力及推理能力；其中的推理能力部分，有時亦稱為語文智能測驗。本書的編寫針對上述各項測驗，予以分回整理，各測驗的方式及內容均於各分回中加以說明。全書共三十回測驗，每回測驗都有五十題測驗題，考生若能勤加練習，相信必能在私立中學入學考試及國中資優能力分班測驗的國語科測驗中搶得先機，無往不利。
                    
"
4712839700582,"

本書專為準備「私中入學」及「國中資優班」考試的同學而設計，書中複習了小學國語中的許多課文，並預習了國中幾篇具有代表性的課文，如楊喚的《夏夜》、朱自清的《背影》、陳之藩的《謝天》、梁啟超的《最苦與最樂》…等。書中的第三單元為各種國語文考試的分類題型，計有：「選字詞」、「改錯」、「注釋」、「注音」、「填國字」、「造句」、「翻譯」及「問答題」等。第四單元則為綜合評量，共有八回的綜合評量題目，供參加私中入學考試或國中資優班考試的同學練習。本書所整理的內容，不僅適合採用作為小學國語的總結複習之用，也適合即將升上國中一年級的同學作為預習的教材，相信本書對於國中國文的先修具有相當的助益。
                    
"
